key,value,normalized
"","New Store X1","VENDOR_NAME"
"Order type:","Quick Sale","OTHER"
"Order Time:","1:03:23 PM","OTHER"
"Sales Person:","Admin Admin","OTHER"
"Sold To:","Walk-In","OTHER"
"CHANGE DUE","$0.00","OTHER"
"Register:","1","OTHER"
"Cash Tendered","$105.60","OTHER"
"12%","$11.32","OTHER"
"Phone:","+333333333333","OTHER"
"Total","$105.60","TOTAL"
"Order Date:","03/31/17","INVOICE_RECEIPT_DATE"
"Order #:","010900269558","INVOICE_RECEIPT_ID"
"Subtotal","$100.23","SUBTOTAL"
"Some address","Store X1","OTHER"
"Discount","($5.95)","OTHER"
"Discount","($5.95)","OTHER"
